"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Joe Burrow","CIN","QB","14777","weighted",278.005724534847,7.36539389096067,2.20353358561968,0.335833045478983,0.77275307473983,0.180241129202897,11.4577767265847,0.859990392893823,0.0875496688741722,0.0419587254711992,0.192289498580889,0.00634360545674323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",261.882827972249,9.78293548336836,1.67167455061495,0.491468696277402,0.854858088930937,0.129498476002401,7.32914616840114,2.5066857412144,0.0340113528855251,0.0442779432472698,0.257734153263955,0.0198299813431567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",253.893819772942,10.6085056136644,1.99999053926206,0.204436867629245,0.879441816461684,0.114277157708984,17.5819638915169,1.47592163420105,0.0999006622516556,0.0543539270533687,0.219276253547777,0.0158590136418581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",244.059442604857,15.8387687494816,1.30885052034059,0.306359241727686,0.79755912961211,0.160526172490637,15.9299716177862,3.19393699535488,0.0725023651844844,0.0646954343051749,0.192289498580889,0.00634360545674323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-03,2023,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",250.228994796594,10.4173354735016,1.7982734153264,0.359673054611098,0.825354777672659,0.141013216795791,16.5609878587196,2.14855945047912,0.145439924314097,0.120283568074572,0.253831598864711,0.0264382185815778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",246.287270577105,13.3670101507985,1.82674550614948,0.228970766999569,0.86275307473983,0.133438873297442,10.731458530432,0.735189901024067,0.0664758751182592,0.0520946913151842,0.161542100283822,0.0316767562792642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-29,2016,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",251.162664774519,10.8097627293667,1.38091769157994,0.383548776806695,0.8779848628193,0.134260303245057,16.6619709870703,2.27452415039384,0.143396404919584,0.0822413838168068,0.176868495742668,0.0190308163702297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",245.926356039104,13.5784961013406,1.90331125827815,0.19249431313646,0.60717123935667,0.338959035116541,23.2027932828761,1.75423767688672,0.102748344370861,0.0640220137733452,0.111565752128666,0.00951540818511484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",255.262399873857,4.9807606838051,1.87220908230842,0.296987457707535,0.848774834437086,0.144489845982092,6.03476505834122,2.70567257638107,0.0216887417218543,0.0431776062689201,0.196144749290445,0.00317180272837162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","weighted",235.826735257017,13.6973560484912,1.30191579943236,0.410786437636989,0.901272469252602,0.192649823843778,11.8104367707348,2.91562859902233,0.161097445600757,0.147838554158927,0.207710501419111,0.00634360545674323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-08,2024,NA,NA,NA,NA
"Joe Flacco","CLE","QB","9064","weighted",242.958942762536,21.9344951788156,1.40920056764428,0.430747827344077,1.03151371807001,0.240851750850498,6.56021602018291,3.15126744530303,0.0277861873226112,0.0390472637776281,0.284578997161779,0.0126872109134865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-16,2008,NA,NA,NA,NA
"Geno Smith","LVR","QB","11150","weighted",234.646248029013,25.4591523875086,1.27166508987701,0.267223608613854,0.865454115421003,0.117527484181825,12.863885209713,2.12531163167659,0.0572043519394513,0.0480829229624347,0.153831598864711,0.0264382185815778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"Russell Wilson","NYG","QB","10703","weighted",222.505403658152,21.39991300701,1.30195364238411,0.336936254268337,0.766598864711448,0.188163723041986,17.3565192368338,3.53198191399736,0.0695884578997162,0.0543437859080171,0.26535004730369,0.0716815666460443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-11-29,2012,NA,NA,NA,NA
