player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate,draft_year,injury_status,injury_details,season_year,week
Tua Tagovailoa,MIA,QB,14778,weighted,260.174771,23.12211453,1.378030919,0.418411325,0.911155411,0.097016942,6.547175985,2.618393827,0.011989422,0.025685857,0.283071603,0.01960144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2020,NA,NA,NA,NA
Dak Prescott,DAL,QB,12620,weighted,270.6863925,11.65271089,1.899389748,0.171847769,0.721415785,0.165498643,12.15641055,1.688798895,0.080337673,0.062530595,0.151507323,0.042838418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/29/1993,2016,NA,NA,NA,NA
Jared Goff,DET,QB,12611,weighted,267.2899884,10.6032845,1.907640358,0.338721635,0.740130187,0.133500614,5.458862025,3.068389388,0.034641985,0.044161065,0.140221725,0.030667513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/14/1994,2016,NA,NA,NA,NA
Matthew Stafford,LAR,QB,9431,weighted,239.5218244,20.56189331,1.331659886,0.346292868,0.617091131,0.224062988,6.173473788,3.208553298,0.034585028,0.044811402,0.123293328,0.015456603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/7/1988,2009,NA,NA,NA,NA
Geno Smith,LVR,QB,11150,weighted,239.3920586,35.9965531,1.276375102,0.218937573,0.883238405,0.118727415,13.53972626,1.565794026,0.053905614,0.050158874,0.111397478,0.055694682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/10/1990,2013,NA,NA,NA,NA
Justin Herbert,LAC,QB,14779,weighted,244.2115343,15.39917668,1.767188771,0.296991164,0.547668836,0.222212786,21.43048123,3.394403703,0.136590724,0.072987034,0.165532954,0.030556924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2020,NA,NA,NA,NA
Lamar Jackson,BAL,QB,13593,weighted,245.977459,9.502168621,2.13581367,0.291024976,0.539104963,0.275906914,48.22610078,4.436611444,0.225968267,0.10547322,0.243043124,0.03364724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/7/1997,2018,NA,NA,NA,NA
C.J. Stroud,HOU,QB,16150,weighted,239.2494368,17.69196444,1.253433686,0.238961396,0.732436941,0.131463025,17.69981053,2.021261976,0.06182262,0.062071206,0.194357201,0.006533813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/3/2001,2023,NA,NA,NA,NA
Patrick Mahomes,KC,QB,13116,weighted,248.762677,7.833843734,1.826651749,0.325097727,0.622424736,0.212322509,30.54974369,2.1323389,0.217200976,0.105377599,0.126114727,0.017391803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
Sam Darnold,SEA,QB,13592,weighted,226.8737917,22.22117106,1.296668023,0.239903086,0.889267697,0.20810514,9.618014646,0.957782662,0.053934093,0.050179493,0.240109845,0.029239075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/5/1997,2018,NA,NA,NA,NA
