player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,birthdate,draft_year,injury_status,injury_details,season_year,week
Tua Tagovailoa,MIA,QB,14778,weighted,256.1572391,29.04527869,1.442809043,0.451669154,0.894992785,0.099827499,7.055502646,2.720413542,0.037758538,0.044481937,0.279840067,0.025198866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2020,NA,NA,NA,NA
Joe Flacco,CLE,QB,9064,weighted,235.6319769,41.97916358,1.313660414,0.601589484,1.061572872,0.211225823,4.731669072,2.066750518,0.012525253,0.020344553,0.311423761,0.049824086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/16/1985,2008,NA,NA,NA,NA
Dak Prescott,DAL,QB,12620,weighted,266.6914671,11.51539966,1.927792208,0.169846929,0.780851371,0.143266689,12.95906205,2.461279901,0.093434343,0.052757237,0.147534873,0.043719679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/29/1993,2016,NA,NA,NA,NA
Jared Goff,DET,QB,12611,weighted,262.8108321,9.911220908,1.955675806,0.339492633,0.757898028,0.137713118,5.347378547,3.38614941,0.042607023,0.049940552,0.138894901,0.033624157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/14/1994,2016,NA,NA,NA,NA
Matthew Stafford,LAR,QB,9431,weighted,236.5157528,22.56258956,1.325262145,0.376322166,0.704319384,0.16588474,6.573564214,3.550645903,0.037657528,0.051501028,0.121614959,0.016392317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/7/1988,2009,NA,NA,NA,NA
Geno Smith,LVR,QB,11150,weighted,244.5796489,42.57814952,1.301596922,0.255903908,0.884829245,0.136133751,14.06670996,1.901401603,0.063698894,0.048800303,0.109373497,0.061173292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/10/1990,2013,NA,NA,NA,NA
Jake Browning,CIN,QB,14358,weighted,196.05452,107.0053343,1.17736,0.697287638,0.862874286,0.472416139,6.483828571,4.376352647,0.090885714,0.071665073,0.136305714,0.07923135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2019,NA,NA,NA,NA
Lamar Jackson,BAL,QB,13593,weighted,238.2486917,17.62774237,2.106026936,0.360591006,0.605247715,0.215450613,53.00245791,6.659280901,0.210856181,0.108596254,0.241774892,0.036945117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/7/1997,2018,NA,NA,NA,NA
Josh Allen,BUF,QB,13589,weighted,239.9258393,11.81790674,1.911972102,0.228628289,0.673237133,0.225812565,37.33534392,4.123921824,0.824636845,0.105182196,0.159054834,0.057579159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/21/1996,2018,NA,NA,NA,NA
Patrick Mahomes,KC,QB,13116,weighted,249.7414334,6.354029093,1.91956229,0.242612805,0.727628668,0.138511284,33.38025493,10.52506253,0.208672439,0.115085111,0.12737494,0.021268036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
C.J. Stroud,HOU,QB,16150,weighted,239.0533814,18.12285693,1.255363155,0.260305635,0.706046176,0.14965218,19.09865801,3.137722777,0.097301587,0.111637859,0.19712001,0.003599838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/3/2001,2023,NA,NA,NA,NA
Justin Herbert,LAC,QB,14779,weighted,241.5159355,15.57756793,1.400654161,0.43956219,0.576171236,0.233781363,19.62926407,3.491647001,0.131260221,0.079764878,0.164718615,0.033628936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2020,NA,NA,NA,NA
Mac Jones,SF,QB,15241,weighted,180.01384,91.84115431,1.084165714,0.608744307,0.67292,0.307593757,7.447422857,4.119633391,0.089811429,0.071400159,0.250168571,0.151427519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1970,2021,NA,NA,NA,NA
